id,text,aspectTerm,from,to,polarity
2339,I charge it at night and skip taking the cord with me because of the good battery life.,cord,41.0,45.0,neutral
2339,I charge it at night and skip taking the cord with me because of the good battery life.,battery life,74.0,86.0,positive
812,I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.,,,,
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,27.0,41.0,negative
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",109.0,121.0,negative
1316,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,4.0,12.0,neutral
2328,I investigated netbooks and saw the Toshiba NB305-N410BL.,,,,
2193,"The other day I had a presentation to do for a seminar at a large conference in town- lots of people, little time to prep and have to set up a computer to a projector, etc.",,,,
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,14.0,21.0,positive
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,36.0,39.0,positive
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,118.0,130.0,positive
2005,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,143.0,146.0,positive
2789,Easy to start up and does not overheat as much as other laptops.,start up,8.0,16.0,positive
425,Sad very SAD.,,,,
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,46.0,54.0,positive
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,77.0,82.0,positive
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,84.0,94.0,positive
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,96.0,107.0,positive
747,Needless to say a PC that can't support a cell phone is less than useless!,,,,
80,Great laptop that offers many great features!,features,36.0,44.0,positive
796,they have done absolutely nothing to fix the computer problem.,,,,
917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,89.0,92.0,negative
917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,94.0,100.0,negative
917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,111.0,122.0,neutral
917,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,131.0,147.0,negative
1788,"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.",,,,
1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,87.0,94.0,neutral
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,50.0,66.0,positive
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,108.0,112.0,negative
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,13.0,33.0,positive
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,44.0,57.0,positive
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,73.0,87.0,neutral
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,115.0,121.0,neutral
1505,Plus it is small and reasonably light so I can take it with me to and from work.,,,,
263,I HATE this one.,,,,
1227,They were totally unconcerned that the computer was not correctly repaired in the first place.,,,,
1019,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,,,,
1158,"Oh, boy!",,,,
1168,But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.,,,,
2568,I love the way the entire suite of software works together.,suite of software,26.0,43.0,positive
295,The speed is incredible and I am more than satisfied.,speed,4.0,9.0,positive
951,on the bright side at least I wasn't without my laptop for long this time!,,,,
2759,This laptop meets every expectation and Windows 7 is great!,Windows 7,40.0,49.0,positive
2055,That's how frustrating it was.,,,,
2980,I can barely use any usb devices because they will not stay connected properly.,usb devices,21.0,32.0,negative
2454,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.",,,,
1054,"-No backlit keyboard, but not an issue for me.",keyboard,12.0,20.0,conflict
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,50.0,58.0,neutral
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,111.0,117.0,negative
1155,I can't even turn it off.,,,,
2587,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,51.0,79.0,negative
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,67.0,74.0,positive
2799,I shopped around before buying.,,,,
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",32.0,46.0,positive
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,80.0,86.0,neutral
2241,Would do business again.,,,,
92,The machine is slow to boot up and occasionally crashes completely.,boot up,23.0,30.0,negative
1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,46.0,53.0,negative
2026,I have had the luxury (sarcasm) of owning 2 of these laptops.,,,,
535,What a waste.,,,,
478,It was a total Dhell experience that I will never repeat.,,,,
1690,There are a few flaws as well that I noticed.,,,,
1789,Completely worth every single penny dime and nickel.,,,,
250,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,,,,
325,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",battery,26.0,33.0,conflict
324,:) In the past four years I've had it I have never once gotten a virus.,,,,
1574,I love the operating system and the preloaded software.,operating system,11.0,27.0,positive
1574,I love the operating system and the preloaded software.,preloaded software,36.0,54.0,positive
1005,"They were great in handling this problem, and I'm looking forward in purchasing additonal products from them in the future.",,,,
989,I've tried going back to XL but there still problems.,,,,
3073,The best thing about this laptop is the price along with some of the newer features.,price,40.0,45.0,positive
3073,The best thing about this laptop is the price along with some of the newer features.,features,75.0,83.0,positive
1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,57.0,76.0,negative
810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,44.0,60.0,negative
1346,But it may be potentially hundreds or thousands in the near future.,,,,
2383,Has met or exceeded my needs for a compact travel device.,,,,
130,but now i have realized its a problem with this brand.,brand,48.0,53.0,negative
1253,It cannot save the correct date and time I set.,,,,
839,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,59.0,67.0,positive
1473,And this isn't just my one experine.,,,,
782,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,,,,
696,I was looking for a mac which is portable and has all the features that I was looking for.,features,58.0,66.0,positive
2878,I would highly recommend this one to my friends,,,,
226,"I honestly love my mac, thats why I am a self proclaimed mac addict.",,,,
1652,And these are some reasons you should get a macbook pro.,,,,
1030,Also kinda loud when the fan was running.,fan,25.0,28.0,negative
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,31.0,54.0,neutral
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,76.0,84.0,negative
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,137.0,160.0,negative
2861,I purchased this laptop while on a business trip to keep up with my email.,,,,
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,43.0,52.0,negative
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,70.0,77.0,negative
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,122.0,129.0,neutral
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,0.0,7.0,positive
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,27.0,38.0,negative
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,49.0,55.0,negative
192,-they lost my laptop for a month,,,,
463,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,28.0,48.0,neutral
2866,"This is my second laptop,and it is head and shoulders above my first.",,,,
935,at first!,,,,
1193,"Speaking of the browser, it too has problems.",browser,16.0,23.0,negative
2192,I think just going from PC to Mac has gotten me totally spoiled and I can't imagine ever going back.,,,,
147,The keyboard is too slick.,keyboard,4.0,12.0,negative
1433,Nightly my computer defrags itself and runs a virus scan.,virus scan,46.0,56.0,neutral
1669,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,10.0,17.0,negative
2462,It's just as fast with one program open as it is with sixteen open.,program,27.0,34.0,neutral
2719,"Still under warrenty so called Toshiba, no help at all.",warrenty,12.0,20.0,negative
1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,120.0,136.0,negative
588,I LOVE IT!,,,,
2492,Amazing Quality!,Quality,8.0,15.0,positive
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,48.0,54.0,neutral
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,71.0,76.0,positive
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,27.0,35.0,neutral
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,41.0,64.0,neutral
915,"A month or so ago, the freaking motherboard just died.",motherboard,32.0,43.0,negative
2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,4.0,10.0,negative
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,30.0,37.0,negative
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,92.0,100.0,negative
1954,I took it back to Best Buy where they were so helpful and immediately gave me a new one.,,,,
