|   day |   penalty |
|------:|----------:|
|     0 |      0    |
|     1 |      0.24 |
|     2 |      0.28 |
|     3 |      0.31 |
|     4 |      0.34 |
|     5 |      0.36 |
|     6 |      0.37 |
|     7 |      0.39 |
|     8 |      0.4  |
|     9 |      0.41 |
|    10 |      0.42 |
|    11 |      0.43 |
|    12 |      0.44 |
|    13 |      0.45 |
|    14 |      0.46 |
|    15 |      0.47 |
|    16 |      0.48 |
|    17 |      0.48 |
|    18 |      0.49 |
|    19 |      0.5  |
|    20 |      0.5  |
|    21 |      0.51 |
|    22 |      0.52 |
|    23 |      0.52 |
|    24 |      0.53 |
|    25 |      0.53 |
|    26 |      0.54 |
|    27 |      0.54 |
|    28 |      0.55 |
|    29 |      0.55 |
|    30 |      0.56 |
|    31 |      0.56 |
|    32 |      0.57 |
|    33 |      0.57 |
|    34 |      0.58 |
|    35 |      0.58 |
|    36 |      0.58 |
|    37 |      0.59 |
|    38 |      0.59 |
|    39 |      0.6  |
|    40 |      0.6  |
|    41 |      0.6  |
|    42 |      0.61 |
|    43 |      0.61 |
|    44 |      0.61 |
|    45 |      0.62 |
|    46 |      0.62 |
|    47 |      0.63 |
|    48 |      0.63 |
|    49 |      0.63 |
|    50 |      0.63 |
|    51 |      0.64 |
|    52 |      0.64 |
|    53 |      0.64 |
|    54 |      0.65 |
|    55 |      0.65 |
|    56 |      0.65 |
|    57 |      0.66 |
|    58 |      0.66 |
|    59 |      0.66 |
|    60 |      0.66 |
|    61 |      0.67 |
|    62 |      0.67 |
|    63 |      0.67 |
|    64 |      0.68 |
|    65 |      0.68 |
|    66 |      0.68 |
|    67 |      0.68 |
|    68 |      0.69 |
|    69 |      0.69 |
|    70 |      0.69 |
|    71 |      0.69 |
|    72 |      0.7  |
|    73 |      0.7  |
|    74 |      0.7  |
|    75 |      0.7  |
|    76 |      0.71 |
|    77 |      0.71 |
|    78 |      0.71 |
|    79 |      0.71 |
|    80 |      0.71 |
|    81 |      0.72 |
|    82 |      0.72 |
|    83 |      0.72 |
|    84 |      0.72 |
|    85 |      0.73 |
|    86 |      0.73 |
|    87 |      0.73 |
|    88 |      0.73 |
|    89 |      0.73 |
|    90 |      0.74 |
|    91 |      0.74 |
|    92 |      0.74 |
|    93 |      0.74 |
|    94 |      0.74 |
|    95 |      0.75 |
|    96 |      0.75 |
|    97 |      0.75 |
|    98 |      0.75 |
|    99 |      0.75 |
|   100 |      0.76 |
|   101 |      0.76 |
|   102 |      0.76 |
|   103 |      0.76 |
|   104 |      0.76 |
|   105 |      0.76 |
|   106 |      0.77 |
|   107 |      0.77 |
|   108 |      0.77 |
|   109 |      0.77 |
|   110 |      0.77 |
|   111 |      0.78 |
|   112 |      0.78 |
|   113 |      0.78 |
|   114 |      0.78 |
|   115 |      0.78 |
|   116 |      0.78 |
|   117 |      0.79 |
|   118 |      0.79 |
|   119 |      0.79 |
|   120 |      0.79 |
|   121 |      0.79 |
|   122 |      0.79 |
|   123 |      0.8  |
|   124 |      0.8  |
|   125 |      0.8  |
|   126 |      0.8  |
|   127 |      0.8  |
|   128 |      0.8  |
|   129 |      0.8  |
|   130 |      0.8  |
|   131 |      0.8  |
|   132 |      0.8  |
|   133 |      0.8  |
|   134 |      0.8  |
|   135 |      0.8  |
|   136 |      0.8  |
|   137 |      0.8  |
|   138 |      0.8  |
|   139 |      0.8  |
|   140 |      0.8  |
|   141 |      0.8  |
|   142 |      0.8  |
|   143 |      0.8  |
|   144 |      0.8  |
|   145 |      0.8  |
|   146 |      0.8  |
|   147 |      0.8  |
|   148 |      0.8  |
|   149 |      0.8  |
|   150 |      0.8  |
|   151 |      0.8  |
|   152 |      0.8  |
|   153 |      0.8  |
|   154 |      0.8  |
|   155 |      0.8  |
|   156 |      0.8  |
|   157 |      0.8  |
|   158 |      0.8  |
|   159 |      0.8  |
|   160 |      0.8  |
|   161 |      0.8  |
|   162 |      0.8  |
|   163 |      0.8  |
|   164 |      0.8  |
|   165 |      0.8  |
|   166 |      0.8  |
|   167 |      0.8  |
|   168 |      0.8  |
|   169 |      0.8  |
|   170 |      0.8  |
|   171 |      0.8  |
|   172 |      0.8  |
|   173 |      0.8  |
|   174 |      0.8  |
|   175 |      0.8  |
|   176 |      0.8  |
|   177 |      0.8  |
|   178 |      0.8  |
|   179 |      0.8  |
|   180 |      0.8  |
